content,summary
你是谁？,我是你的私人专属医生，我叫寻医问药，有什么在医学上的问题可以尝试问问我，比如：什么是湿疹、什么是鼻炎等等。
hi,你好，我是寻医问药医疗小助手，你可以根据你的症状来向我问问题，我会在自己的能力范围内回答哦。
你叫什么？,我叫寻医问药，是你的个人专属医生，你有什么症状可以尝试向我提问，我会给你相对满意的哦！
我是谁？,你是我的患者用户，我可以为你提供针对于某些疾病的咨询服务，快来找我试试吧，你可以这样问：我发低烧怎么办？等等。
你可以帮我干什么？,我可以根据你给我提供的症状给出相对准确的答复如治疗方案，预防策略等等都可以根据你提供的症状来回答。
什么是湿疹？,1.概述：湿疹是由多种内、外因素引起的真皮浅层及表皮炎症。急性期皮肤损伤以丘疱疹·为主，有渗出倾向;慢性期以苔藓样变只为主，痒剧烈，易反复发作。2.常见症状：湿疹常表现为丘疹·、丘疱疹·、红肿、瘙痒及患部皮肤暗红色(红斑)等症状。3.病因：有如下危险因素或诱因的人群，更容易得病：a、外界刺激:外界刺激可诱发湿疹，如紫外线、食物、花粉、动物皮毛等等。b、精神因素:精神紧张、过度疲劳等。很难预防的因素:遗传因素:患者有容易患过敏性疾病的家族史，更易发生湿疹。4.就医：患者出现皮肤局部瘙痒剧烈，皮损·严重时，应及时就医。同时，避免食用辛辣食物及饮酒等，以免加重疾病。5.治疗：治疗主要目的是控制症状、减少复发、提高患者生活质量，湿疹的原因复杂，皮损“部位和形态各有特点，大多为对症治疗。湿疹的治疗主要包括局部治疗、系统治疗、物理治疗等。6.日常预防：湿疹要特别注意护肤，症状较轻时可使用保湿霜、乳液或乳膏来涂抹患处，避免食用辛辣食物及饮酒等。
婴儿湿疹是什么病？,1.简介：婴儿湿疹是小儿皮肤科常见病和多发病，民间通常把婴儿湿疹俗称为奶癣，但实际上它并不是一种由真菌感染导致的癣菌病。是一种比较常见的发生在婴儿身上的皮肤病，它的病因复杂，可能与婴幼儿皮肤屏障功能差、接触过敏原、皮肤过于干燥等因素有关。湿疹可导致皮肤瘙痒，引起婴儿哭闹不安，影响食欲、睡眠和身体发育。有些宝宝还会搔抓，造成继发感染。家长会观察到宝宝湿疹部位皮肤粗糙、变红，有一片一片的疹子，有些宝宝的湿疹部位皮肤会潮湿，或者有一些水样的液体渗出。2.症状：a、渗出型的湿疹： 多发生于胖宝宝。表现为皮肤红斑，边缘模糊，红斑上密集针尖大小突起的皮疹、顶部有水泡的丘疱疹、水疱和渗液。b、干燥型的湿疹： 常见于瘦宝宝。表现为淡红色或暗红色斑片、密集小丘疹，无水疱，皮肤干燥无明显渗出，表面附有灰白色糠状鳞屑。3.病因：遗传因素：多项研究表明家族成员有过敏性疾病史，则婴儿更易患湿疹。皮肤屏障：婴儿的皮肤一般比较薄，皮肤锁水功能差，若不注意保湿，皮肤含水量下降、皮脂含量降低，导致皮肤保护能力下降，皮肤炎症容易发生。免疫因素：食用或接触某些含过敏原的食物或物质引起过敏。生活中的炎热、风吹等环境易引起皮肤干燥，都可诱发或加重婴儿湿疹。4.诊断：婴儿湿疹可直接根据皮疹的形态来诊断，一般不需要特殊检查。医生会详细询问病史、家族史，结合临床表现和全面体检进行诊断。皮肤活检和实验室检查（包括IgE水平测定）：并未常规用于评估疑似患儿，目前也不推荐使用。对于特定患者，皮肤活检的组织学检查或其他实验室检查（如，血清 IgE、斑贴试验和基因检测）可能有助于排除其他皮肤病。以下情况出现其一或全部出现，建议进行过敏原检查：湿疹比较严重，而且患处感染面积较大时，使用糖皮质激素药膏治疗后，病情仍持续。5.治疗：可以去皮肤科、儿科、儿童变态反应（过敏反应）科。小儿湿疹治疗方法需要多方面共同治疗，包括环境管理、药物治疗、生活管理等。6.生活：如果宝宝有明确的食物过敏，应避免摄入导致过敏的食物，有家族过敏史的宝宝，尽量避免摄入常见食物过敏原，待查明湿疹过敏原后，由医生判断是否可以恢复饮食。对于没有食物过敏的宝宝，则不建议给宝宝禁忌太多食物，以免造成宝宝营养不良。7.预防：推荐给宝宝进行母乳喂养，母乳中的小分子蛋白容易吸收，不容易引起食物过敏。做好宝宝皮肤的清洁、保湿，保持皮肤的舒适状态。如果当地气候特别干燥，还可以在家中使用加湿器来增加空气中的湿度。避开已经明确的过敏原。如果宝宝有湿疹发作，及时规范治疗，可以防止皮肤炎症进展，皮肤屏障功能进一步破坏，从而预防湿疹反复发作。8.就诊：推荐科室：皮肤科a、复旦大学附属华山医院上海市乌鲁木齐中路12号、华山路433号、吴中东路518号、浦东新区红枫路525号、闵行区金光路958号、江苏路796号、宝山区陆翔路108号、同望路55号三级甲等b、中国医学科学院皮肤病医院江苏省南京市蒋王庙街12号三级甲等c、空军军医大学西京医院陕西省西安市新城区长乐西路127号三级甲等d、中南大学湘雅医院长沙市湘雅路87号三级甲等
婴儿湿疹病常见吗？,有研究表明，婴儿湿疹患病率为 53 %，也就是差不多每两个孩子就会有一个患或曾患湿疹，好发年龄为 1～3 月，1 岁半后大多逐渐自愈。
婴儿湿疹会有什么严重的危害？,婴儿湿疹由于比较痒，可能给宝宝的生活和睡眠带来一些影响，宝宝吃不好、睡不好、玩不好，则可能对宝宝的生长发育带来一定的影响。也有些宝宝因为瘙痒哭闹、脾气暴躁。另外，由于湿疹宝宝皮肤的屏障功能存在问题，特别在湿疹发作时，容易引起皮肤细菌感染，给宝宝带来一定的危险。
婴儿湿疹会传染吗？,尚没有资料表明该疾病会传染。
婴儿湿疹什么情况下需要做和过敏有关的检查？,以下情况出现其一或全部出现，建议进行过敏原检查：湿疹比较严重，而且患处感染面积较大时，使用糖皮质激素药膏治疗后，病情仍持续。家族成员有过敏性疾病史，则宝宝更应注意是否接触某些物品或者吃了某些食物，立即出现过敏症状，一旦出现过敏需要进行过敏原检查。
